=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.01.26 15:52:26 =~=~=~=~=~=~=~=~=~=~=~=
READY
00:00:00,5.6875
00:00:01,5.5625
00:00:02,5.5000
00:00:03,5.4375
00:00:04,5.3750
00:00:05,5.3750
00:00:06,5.2500
00:00:07,5.2500
00:00:08,5.1250
00:00:09,5.0625
00:00:10,5.0000
00:00:11,4.9375
00:00:12,4.8125
00:00:13,4.7500
00:00:14,4.6250
00:00:15,4.5625
00:00:16,4.4375
00:00:17,4.4375
00:00:18,4.3125
00:00:19,4.2500
00:00:20,4.1250
00:00:21,4.1250
00:00:22,4.0000
00:00:23,3.9375
00:00:24,3.8750
00:00:25,3.8125
00:00:26,3.7500
00:00:27,3.6875
00:00:28,3.6250
00:00:29,3.5625
00:00:31,3.5000
00:00:32,3.3750
00:00:33,3.3125
00:00:34,3.2500
00:00:35,3.1875
00:00:36,3.1250
00:00:37,3.0625
00:00:38,3.0000
00:00:39,2.8750
00:00:40,2.8125
00:00:41,2.8125
00:00:42,2.6875
00:00:43,2.6250
00:00:44,2.5625
00:00:45,2.5000
00:00:46,2.4375
00:00:47,2.3750
00:00:48,2.3125
00:00:49,2.2500
00:00:50,2.1875
00:00:51,2.1250
00:00:52,2.0625
00:00:53,2.0000
00:00:54,1.9375
00:00:55,1.8750
00:00:56,1.8125
00:00:57,1.7500
00:00:58,1.6875
00:00:59,1.6250
00:01:00,1.5625
00:01:01,1.5000
00:01:02,1.4375
00:01:03,1.3750
00:01:04,1.3750
00:01:06,1.2500
00:01:07,1.1875
00:01:08,1.1250
00:01:09,1.0625
00:01:10,1.0000
00:01:11,1.0000
00:01:12,0.8750
00:01:13,0.8750
00:01:14,0.7500
00:01:15,0.6875
00:01:16,0.6250
00:01:17,0.5625
00:01:18,0.5000
00:01:19,0.4375
00:01:20,0.3750
00:01:21,0.3125
00:01:22,0.2500
00:01:23,0.1875
00:01:24,0.1250
00:01:25,0.0625
00:01:26,0.0000
00:01:27,0.0000
00:01:28,-0.0625
00:01:29,-0.1875
00:01:30,-0.1875
00:01:31,-0.2500
00:01:32,-0.3125
00:01:33,-0.3750
00:01:34,-0.4375
00:01:35,-0.5000
00:01:36,-0.5000
00:01:37,-0.5625
00:01:38,-0.6250
00:01:40,-0.6875
00:01:41,-0.7500
00:01:42,-0.8125
00:01:43,-0.8750
00:01:44,-0.8750
00:01:45,-0.9375
00:01:46,-1.0000
00:01:47,-1.0625
00:01:48,-1.1250
00:01:49,-1.1875
00:01:50,-1.1875
00:01:51,-1.2500
00:01:52,-1.3125
00:01:53,-1.3125
00:01:54,-1.3750
00:01:55,-1.4375
00:01:56,-1.5000
00:01:57,-1.5000
00:01:58,-1.5625
00:01:59,-1.6250
00:02:00,-1.6250
00:02:01,-1.6875
00:02:02,-1.7500
00:02:03,-1.8125
00:02:04,-1.8125
00:02:05,-1.8750
00:02:06,-1.9375
00:02:07,-1.9375
00:02:08,-2.0000
00:02:09,-2.0625
00:02:10,-2.0625
00:02:11,-2.1250
00:02:12,-2.1250
00:02:13,-2.1875
00:02:15,-2.2500
00:02:16,-2.2500
00:02:17,-2.3125
00:02:18,-2.3750
00:02:19,-2.3750
00:02:20,-2.3750
00:02:21,-2.4375
00:02:22,-2.4375
00:02:23,-2.5000
00:02:24,-2.5000
00:02:25,-2.4375
00:02:26,-2.4375
00:02:27,-2.4375
00:02:28,-2.4375
00:02:29,-2.3750
00:02:30,-2.3750
00:02:31,-2.4375
00:02:32,-2.4375
00:02:33,-2.4375
00:02:34,-2.4375
00:02:35,-2.4375
00:02:36,-2.5000
00:02:37,-2.5000
00:02:38,-2.5625
00:02:39,-2.5625
00:02:40,-2.5625
00:02:41,-2.5625
00:02:42,-2.6250
00:02:43,-2.6875
00:02:44,-2.6875
00:02:45,-2.6875
00:02:46,-2.6875
00:02:47,-2.7500
00:02:49,-2.7500
00:02:50,-2.7500
00:02:51,-2.7500
00:02:52,-2.8125
00:02:53,-2.8125
00:02:54,-2.8125
00:02:55,-2.8125
00:02:56,-2.8125
00:02:57,-2.8125
00:02:58,-2.8750
00:02:59,-2.8750
00:03:00,-2.8750
00:03:01,-2.9375
00:03:02,-2.9375
00:03:03,-2.9375
00:03:04,-3.0000
00:03:05,-2.9375
00:03:06,-3.0000
00:03:07,-3.0625
00:03:08,-3.0625
00:03:09,-3.0625
00:03:10,-3.1250
00:03:11,-3.1250
00:03:12,-3.1875
00:03:13,-3.2500
00:03:14,-3.3125
00:03:15,-3.3125
00:03:16,-3.3750
00:03:17,-3.4375
00:03:18,-3.5000
00:03:19,-3.5625
00:03:20,-3.5625
00:03:21,-3.6250
00:03:22,-3.6875
00:03:24,-3.7500
00:03:25,-3.8125
00:03:26,-3.8750
00:03:27,-3.9375
00:03:28,-4.0000
00:03:29,-4.0000
00:03:30,-4.0625
00:03:31,-4.1250
00:03:32,-4.1250
00:03:33,-4.1875
00:03:34,-4.2500
00:03:35,-4.3125
00:03:36,-4.3125
00:03:37,-4.3750
00:03:38,-4.4375
00:03:39,-4.4375
00:03:40,-4.5000
00:03:41,-4.5625
00:03:42,-4.5625
00:03:43,-4.6250
00:03:44,-4.6250
00:03:45,-4.6875
00:03:46,-4.7500
00:03:47,-4.7500
00:03:48,-4.8125
00:03:49,-4.8125
00:03:50,-4.8750
00:03:51,-4.9375
00:03:52,-4.9375
00:03:53,-5.0000
00:03:54,-5.0000
00:03:55,-5.0625
00:03:56,-5.0625
00:03:58,-5.0625
00:03:59,-5.1250
00:04:00,-5.1250
00:04:01,-5.1250
00:04:02,-5.1875
00:04:03,-5.1875
00:04:04,-5.2500
00:04:05,-5.2500
00:04:06,-5.2500
00:04:07,-5.2500
00:04:08,-5.2500
00:04:09,-5.3125
00:04:10,-5.3125
00:04:11,-5.3125
00:04:12,-5.3125
00:04:13,-5.3125
